Date,Time,M1 (kWh),M2 (kWh),Weather Code,Max Temp (°C),Sunshine (hours),Radiation (MJ/m²),Snowfall (cm),Notes,Verified
2019-02-27,08:00,12976.0,11968.0,75,-7.7,0.00,3.13,6.58,,Yes
2019-02-28,07:00,12983.0,11968.0,71,-6.1,5.77,11.98,0.63,,Yes
2019-03-01,08:00,12993.0,11974.0,3,0.3,9.89,16.59,,,Yes
2019-03-02,09:00,12999.0,11992.0,73,0.5,3.82,7.94,1.47,,Yes
2019-03-03,09:00,13035.0,11994.0,73,-0.6,1.42,8.64,1.40,,Yes
2019-03-04,08:00,13027.0,11990.0,71,-5.0,2.89,9.38,0.56,,Yes
2019-03-05,09:00,13041.0,12036.0,71,-7.1,3.69,10.85,0.49,,Yes
2019-03-06,09:00,13048.0,12017.0,71,-8.0,9.11,14.62,0.42,,Yes
2019-03-07,09:00,13066.0,12019.0,71,-5.2,8.83,12.90,0.14,,Yes
2019-03-08,07:00,13075.0,12028.0,3,0.2,10.62,18.06,,,Yes
2019-03-09,08:00,13080.0,12051.0,3,1.2,10.65,18.61,,,Yes
2019-03-10,07:00,13085.0,12074.0,63,8.6,1.99,5.55,,,Yes
2019-03-11,08:00,13092.0,12074.0,71,4.3,6.51,10.64,0.14,,Yes
2019-03-12,08:00,13102.0,12076.0,3,2.7,8.76,15.80,,,Yes
2019-03-13,08:00,13110.0,12093.0,73,7.6,0.39,6.07,0.56,,Yes
2019-03-14,07:00,13117.0,12096.0,53,19.0,7.46,10.30,,,Yes
2019-03-15,06:00,13131.0,12107.0,63,14.8,7.01,11.59,,,Yes
2019-03-16,06:00,13141.0,12113.0,73,3.2,9.28,14.79,0.56,,Yes
2019-03-17,09:00,13141.0,12124.0,3,2.1,7.86,16.88,,,Yes
2019-03-18,08:00,13155.0,12148.0,71,3.6,10.53,14.12,0.42,,Yes
2019-03-20,08:00,13161.0,12163.0,51,11.5,11.09,19.31,,,Yes
2019-03-21,08:00,13165.0,12187.0,51,10.9,2.71,9.01,,,Yes
2019-03-22,09:00,13169.0,12192.0,73,5.3,9.57,13.16,0.63,,Yes
2019-03-23,09:00,13175.0,12195.0,71,3.8,11.23,21.49,0.07,,Yes
